id,identifier,species_id,height,weight,base_experience,order,is_default
1,bulbasaur,1,7,69,64,1,1
2,ivysaur,2,10,130,142,2,1
3,venusaur,3,20,1000,263,3,1
4,charmander,4,6,85,62,5,1
5,charmeleon,5,11,190,142,6,1
6,charizard,6,17,905,267,7,1
7,squirtle,7,5,90,63,10,1
8,wartortle,8,10,225,142,11,1
9,blastoise,9,16,855,265,12,1
10,caterpie,10,3,29,39,14,1
11,metapod,11,7,99,72,15,1
12,butterfree,12,11,320,198,16,1
13,weedle,13,3,32,39,17,1
14,kakuna,14,6,100,72,18,1
15,beedrill,15,10,295,178,19,1
16,pidgey,16,3,18,50,21,1
17,pidgeotto,17,11,300,122,22,1
18,pidgeot,18,15,395,216,23,1
19,rattata,19,3,35,51,25,1
20,raticate,20,7,185,145,27,1
21,spearow,21,3,20,52,30,1
22,fearow,22,12,380,155,31,1
23,ekans,23,20,69,58,32,1
24,arbok,24,35,650,157,33,1
25,pikachu,25,4,60,112,35,1
26,raichu,26,8,300,243,51,1
27,sandshrew,27,6,120,60,53,1
28,sandslash,28,10,295,158,55,1
29,nidoran-f,29,4,70,55,57,1
30,nidorina,30,8,200,128,58,1
31,nidoqueen,31,13,600,253,59,1
32,nidoran-m,32,5,90,55,60,1
33,nidorino,33,9,195,128,61,1
34,nidoking,34,14,620,253,62,1
35,clefairy,35,6,75,113,64,1
36,clefable,36,13,400,242,65,1
37,vulpix,37,6,99,60,66,1
38,ninetales,38,11,199,177,68,1
39,jigglypuff,39,5,55,95,71,1
40,wigglytuff,40,10,120,218,72,1
41,zubat,41,8,75,49,73,1
42,golbat,42,16,550,159,74,1
43,oddish,43,5,54,64,76,1
44,gloom,44,8,86,138,77,1
45,vileplume,45,12,186,245,78,1
46,paras,46,3,54,57,80,1
47,parasect,47,10,295,142,81,1
48,venonat,48,10,300,61,82,1
49,venomoth,49,15,125,158,83,1
50,diglett,50,2,8,53,84,1
51,dugtrio,51,7,333,149,86,1
52,meowth,52,4,42,58,88,1
53,persian,53,10,320,154,91,1
54,psyduck,54,8,196,64,93,1
55,golduck,55,17,766,175,94,1
56,mankey,56,5,280,61,95,1
57,primeape,57,10,320,159,96,1
58,growlithe,58,7,190,70,97,1
59,arcanine,59,19,1550,194,98,1
60,poliwag,60,6,124,60,99,1
61,poliwhirl,61,10,200,135,100,1
62,poliwrath,62,13,540,255,101,1
63,abra,63,9,195,62,103,1
64,kadabra,64,13,565,140,104,1
65,alakazam,65,15,480,250,105,1
66,machop,66,8,195,61,107,1
67,machoke,67,15,705,142,108,1
68,machamp,68,16,1300,253,109,1
69,bellsprout,69,7,40,60,110,1
70,weepinbell,70,10,64,137,111,1
71,victreebel,71,17,155,221,112,1
72,tentacool,72,9,455,67,113,1
73,tentacruel,73,16,550,180,114,1
74,geodude,74,4,200,60,115,1
75,graveler,75,10,1050,137,117,1
76,golem,76,14,3000,223,119,1
77,ponyta,77,10,300,82,121,1
78,rapidash,78,17,950,175,123,1
79,slowpoke,79,12,360,63,125,1
80,slowbro,80,16,785,172,127,1
81,magnemite,81,3,60,65,132,1
82,magneton,82,10,600,163,133,1
83,farfetchd,83,8,150,132,135,1
84,doduo,84,14,392,62,137,1
85,dodrio,85,18,852,165,138,1
86,seel,86,11,900,65,139,1
87,dewgong,87,17,1200,166,140,1
88,grimer,88,9,300,65,141,1
89,muk,89,12,300,175,143,1
90,shellder,90,3,40,61,145,1
91,cloyster,91,15,1325,184,146,1
92,gastly,92,13,1,62,147,1
93,haunter,93,16,1,142,148,1
94,gengar,94,15,405,250,149,1
95,onix,95,88,2100,77,151,1
96,drowzee,96,10,324,66,154,1
97,hypno,97,16,756,169,155,1
98,krabby,98,4,65,65,156,1
99,kingler,99,13,600,166,157,1
100,voltorb,100,5,104,66,158,1
101,electrode,101,12,666,172,159,1
102,exeggcute,102,4,25,65,160,1
103,exeggutor,103,20,1200,186,161,1
104,cubone,104,4,65,64,163,1
105,marowak,105,10,450,149,164,1
106,hitmonlee,106,15,498,159,168,1
107,hitmonchan,107,14,502,159,169,1
108,lickitung,108,12,655,77,171,1
109,koffing,109,6,10,68,173,1
110,weezing,110,12,95,172,174,1
111,rhyhorn,111,10,1150,69,176,1
112,rhydon,112,19,1200,170,177,1
113,chansey,113,11,346,395,180,1
114,tangela,114,10,350,87,182,1
115,kangaskhan,115,22,800,172,184,1
116,horsea,116,4,80,59,186,1
117,seadra,117,12,250,154,187,1
118,goldeen,118,6,150,64,189,1
119,seaking,119,13,390,158,190,1
120,staryu,120,8,345,68,191,1
121,starmie,121,11,800,182,192,1
122,mr-mime,122,13,545,161,194,1
123,scyther,123,15,560,100,196,1
124,jynx,124,14,406,159,200,1
125,electabuzz,125,11,300,172,202,1
126,magmar,126,13,445,173,205,1
127,pinsir,127,15,550,175,207,1
128,tauros,128,14,884,172,209,1
129,magikarp,129,9,100,40,210,1
130,gyarados,130,65,2350,189,211,1
131,lapras,131,25,2200,187,213,1
132,ditto,132,3,40,101,214,1
133,eevee,133,3,65,65,215,1
134,vaporeon,134,10,290,184,217,1
135,jolteon,135,8,245,184,218,1
136,flareon,136,9,250,184,219,1
137,porygon,137,8,365,79,225,1
138,omanyte,138,4,75,71,228,1
139,omastar,139,10,350,173,229,1
140,kabuto,140,5,115,71,230,1
141,kabutops,141,13,405,173,231,1
142,aerodactyl,142,18,590,180,232,1
143,snorlax,143,21,4600,189,235,1
144,articuno,144,17,554,290,236,1
145,zapdos,145,16,526,290,238,1
146,moltres,146,20,600,290,240,1
147,dratini,147,18,33,60,242,1
148,dragonair,148,40,165,147,243,1
149,dragonite,149,22,2100,300,244,1
150,mewtwo,150,20,1220,340,245,1
151,mew,151,4,40,300,248,1
152,chikorita,152,9,64,64,249,1
153,bayleef,153,12,158,142,250,1
154,meganium,154,18,1005,236,251,1
155,cyndaquil,155,5,79,62,252,1
156,quilava,156,9,190,142,253,1
157,typhlosion,157,17,795,240,254,1
158,totodile,158,6,95,63,255,1
159,croconaw,159,11,250,142,256,1
160,feraligatr,160,23,888,239,257,1
161,sentret,161,8,60,43,258,1
162,furret,162,18,325,145,259,1
163,hoothoot,163,7,212,52,260,1
164,noctowl,164,16,408,158,261,1
165,ledyba,165,10,108,53,262,1
166,ledian,166,14,356,137,263,1
167,spinarak,167,5,85,50,264,1
168,ariados,168,11,335,140,265,1
169,crobat,169,18,750,268,75,1
170,chinchou,170,5,120,66,266,1
171,lanturn,171,12,225,161,267,1
172,pichu,172,3,20,41,34,1
173,cleffa,173,3,30,44,63,1
174,igglybuff,174,3,10,42,70,1
175,togepi,175,3,15,49,268,1
176,togetic,176,6,32,142,269,1
177,natu,177,2,20,64,271,1
178,xatu,178,15,150,165,272,1
179,mareep,179,6,78,56,273,1
180,flaaffy,180,8,133,128,274,1
181,ampharos,181,14,615,230,275,1
182,bellossom,182,4,58,245,79,1
183,marill,183,4,85,88,278,1
184,azumarill,184,8,285,210,279,1
185,sudowoodo,185,12,380,144,281,1
186,politoed,186,11,339,250,102,1
187,hoppip,187,4,5,50,282,1
188,skiploom,188,6,10,119,283,1
189,jumpluff,189,8,30,207,284,1
190,aipom,190,8,115,72,285,1
191,sunkern,191,3,18,36,287,1
192,sunflora,192,8,85,149,288,1
193,yanma,193,12,380,78,289,1
194,wooper,194,4,85,42,291,1
195,quagsire,195,14,750,151,292,1
196,espeon,196,9,265,184,220,1
197,umbreon,197,10,270,184,221,1
198,murkrow,198,5,21,81,293,1
199,slowking,199,20,795,172,130,1
200,misdreavus,200,7,10,87,295,1
201,unown,201,5,50,118,297,1
202,wobbuffet,202,13,285,142,299,1
203,girafarig,203,15,415,159,300,1
204,pineco,204,6,72,58,301,1
205,forretress,205,12,1258,163,302,1
206,dunsparce,206,15,140,145,303,1
207,gligar,207,11,648,86,304,1
208,steelix,208,92,4000,179,152,1
209,snubbull,209,6,78,60,306,1
210,granbull,210,14,487,158,307,1
211,qwilfish,211,5,39,88,308,1
212,scizor,212,18,1180,175,197,1
213,shuckle,213,6,205,177,309,1
214,heracross,214,15,540,175,310,1
215,sneasel,215,9,280,86,312,1
216,teddiursa,216,6,88,66,314,1
217,ursaring,217,18,1258,175,315,1
218,slugma,218,7,350,50,316,1
219,magcargo,219,8,550,151,317,1
220,swinub,220,4,65,50,318,1
221,piloswine,221,11,558,158,319,1
222,corsola,222,6,50,144,321,1
223,remoraid,223,6,120,60,323,1
224,octillery,224,9,285,168,324,1
225,delibird,225,9,160,116,325,1
226,mantine,226,21,2200,170,327,1
227,skarmory,227,17,505,163,328,1
228,houndour,228,6,108,66,329,1
229,houndoom,229,14,350,175,330,1
230,kingdra,230,18,1520,270,188,1
231,phanpy,231,5,335,66,332,1
232,donphan,232,11,1200,175,333,1
233,porygon2,233,6,325,180,226,1
234,stantler,234,14,712,163,334,1
235,smeargle,235,12,580,88,335,1
236,tyrogue,236,7,210,42,167,1
237,hitmontop,237,14,480,159,170,1
238,smoochum,238,4,60,61,199,1
239,elekid,239,6,235,72,201,1
240,magby,240,7,214,73,204,1
241,miltank,241,12,755,172,336,1
242,blissey,242,15,468,635,181,1
243,raikou,243,19,1780,290,337,1
244,entei,244,21,1980,290,338,1
245,suicune,245,20,1870,290,339,1
246,larvitar,246,6,720,60,340,1
247,pupitar,247,12,1520,144,341,1
248,tyranitar,248,20,2020,300,342,1
249,lugia,249,52,2160,340,344,1
250,ho-oh,250,38,1990,340,345,1
251,celebi,251,6,50,300,346,1
